id;name;phone_number;description;active;created_at;updated_at;is_deleted;deleted_at;deleted_by;address_id;station_img_id
1536;Bến xe Kim Sơn;;Station in Ninh Bình;true;2025-09-28 08:56:45;;false;;\N;1536;
1537;Bến xe Kim Tân;;Station in Thanh Hóa;true;2025-09-28 08:56:45;;false;;\N;1537;
1538;Bến xe Kiến Đức;;Station in Đắk Nông;true;2025-09-28 08:56:45;;false;;\N;1538;
1539;Bến xe Kon Tum;;Station in Kon Tum;true;2025-09-28 08:56:45;;false;;\N;1539;
1540;Bến xe Kỳ Anh;;Station in Hà Tĩnh;true;2025-09-28 08:56:45;;false;;\N;1540;
1541;Bến xe Lai Châu;;Station in Lai Châu;true;2025-09-28 08:56:45;;false;;\N;1541;
1542;Bến xe Long Hải;;Station in Bà Rịa-Vũng Tàu;true;2025-09-28 08:56:45;;false;;\N;1542;
1543;Bến xe Long Xuyên;;Station in An Giang;true;2025-09-28 08:56:45;;false;;\N;1543;
1544;Bến xe Lạc Long;;Station in Hải Phòng;true;2025-09-28 08:56:45;;false;;\N;1544;
1545;Bến xe Lạng Sơn;;Station in Lạng Sơn;true;2025-09-28 08:56:45;;false;;\N;1545;
1546;Bến xe Lập Thạch;;Station in Vĩnh Phúc;true;2025-09-28 08:56:45;;false;;\N;1546;
1547;Bến xe Lộc Ninh;;Station in Bình Phước;true;2025-09-28 08:56:45;;false;;\N;1547;
1548;Bến xe Minh Lộc;;Station in Thanh Hóa;true;2025-09-28 08:56:45;;false;;\N;1548;
1549;Bến xe Miền Tây;;Station in Hồ Chí Minh;true;2025-09-28 08:56:45;;false;;\N;1549;
1550;Bến xe Miền Đông;;Station in Hồ Chí Minh;true;2025-09-28 08:56:45;;false;;\N;1550;
1551;Bến xe Móng Cái;;Station in Quảng Ninh;true;2025-09-28 08:56:45;;false;;\N;1551;
1552;Bến xe Mông Dương;;Station in Quảng Ninh;true;2025-09-28 08:56:45;;false;;\N;1552;
1553;Bến xe Mũi Né;;Station in Bình Thuận;true;2025-09-28 08:56:45;;false;;\N;1553;
1554;Bến xe Mộc Châu;;Station in Sơn La;true;2025-09-28 08:56:45;;false;;\N;1554;
1555;Bến xe Nam Trung;;Station in Thái Bình;true;2025-09-28 08:56:45;;false;;\N;1555;
1556;Bến xe Nam Đàn;;Station in Nghệ An;true;2025-09-28 08:56:45;;false;;\N;1556;
1557;Bến xe Nam Định;;Station in Nam Định;true;2025-09-28 08:56:45;;false;;\N;1557;
1558;Bến xe Ngã Tư Ga;;Station in Hồ Chí Minh;true;2025-09-28 08:56:45;;false;;\N;1558;
1559;Bến xe Ngọc Lặc;;Station in Thanh Hóa;true;2025-09-28 08:56:45;;false;;\N;1559;
1560;Bến xe Niệm Nghĩa;;Station in Hải Phòng;true;2025-09-28 08:56:45;;false;;\N;1560;
1561;Bến xe Phan Thiết;;Station in Bình Thuận;true;2025-09-28 08:56:45;;false;;\N;1561;
1562;Bến xe Phú Thọ;;Station in Phú Thọ;true;2025-09-28 08:56:45;;false;;\N;1562;
1563;Bến xe Phước Hải;;Station in Bà Rịa-Vũng Tàu;true;2025-09-28 08:56:45;;false;;\N;1563;
1564;Bến xe Phước Long;;Station in Bình Phước;true;2025-09-28 08:56:45;;false;;\N;1564;
1565;Bến xe Phố Mới;;Station in Lào Cai;true;2025-09-28 08:56:45;;false;;\N;1565;
1566;Bến xe Quy Nhơn;;Station in Bình Định;true;2025-09-28 08:56:45;;false;;\N;1566;
1567;Bến xe Quỳ Hợp;;Station in Nghệ An;true;2025-09-28 08:56:45;;false;;\N;1567;
1568;Bến xe Quỳnh Côi;;Station in Thái Bình;true;2025-09-28 08:56:45;;false;;\N;1568;
1569;Bến xe Quỹ Nhất;;Station in Nam Định;true;2025-09-28 08:56:45;;false;;\N;1569;
1570;Bến xe Rạch Giá;;Station in Kiên Giang;true;2025-09-28 08:56:45;;false;;\N;1570;
1571;Bến xe Sóc Trăng;;Station in Sóc Trăng;true;2025-09-28 08:56:45;;false;;\N;1571;
