id;street_address;latitude;longitude;created_at;updated_at;is_deleted;deleted_at;deleted_by;ward_id
1622;Số 418 Bà Triệu, Đông Thọ, Thanh Hóa;;;2025-09-28 08:56:45;;false;;\N;5912
1623;Võ Văn Kiệt, Buôn Ma Thuột;;;2025-09-28 08:56:45;;false;;\N;8793
1624;690 Quang Trung, P. Đông Vệ, Thanh Hóa;;;2025-09-28 08:56:45;;false;;\N;5893
1625;Quốc lộ 4D, Sapa, Sa Pa;;;2025-09-28 08:56:45;;false;;\N;2739
1626;523 Quang Trung, An Khê;;;2025-09-28 08:56:45;;false;;\N;8590
1627;206 Thống Nhất, P. Tân Thiện, La Gi;;;2025-09-28 08:56:45;;false;;\N;8358
1628;Ấp Cái Nai, đường Nguyễn Tất Thành, QL 1A, Thị trấn Năm Căn, Năm Căn;;;2025-09-28 08:56:45;;false;;\N;11527
1629;Quốc lộ 91, Phường Châu Văn Liêm, Ô Môn, Thành phố Cần Thơ;;;2025-09-28 08:56:45;;false;;\N;11132
1630;Phường Mường Thanh, Điện Biên Phủ;;;2025-09-28 08:56:45;;false;;\N;2780
1631;Xã Yên Sơn, Đô Lương;;;2025-09-28 08:56:45;;false;;\N;6718
1632;Nghĩa Hưng;;;2025-09-28 08:56:45;;false;;\N;5638
1633;Đông Hưng;;;2025-09-28 08:56:45;;false;;\N;5335
1634;Khu phố 3, thị trấn Đạ tẻh, Đạ Tẻh;;;2025-09-28 08:56:45;;false;;\N;9156
1635;Thôn Minh Đoài, Xã Đức Thịnh, Đăk Mil;;;2025-09-28 08:56:45;;false;;\N;8991
1636;Nguyễn Hữu Cảnh, Phường Hải Thịnh, Đồng Hới;;;2025-09-28 08:56:45;;false;;\N;7042
1637;Đức Linh, Đức Linh;;;2025-09-28 08:56:45;;false;;\N;8440
